"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","fare_amount","payment_type","percent_tip"
"Manhattan","Manhattan",5.12,30.72,2.54,19.1,1,16.6666666666667
"Manhattan","Manhattan",0,19.2,3,14.2,1,0
"Manhattan","Manhattan",1,13.2,0.8,7.2,1,7.57575757575758
"Manhattan","Manhattan",4.2,25.2,2.67,17,1,16.6666666666667
"Manhattan","Manhattan",2,12.5,0.78,6.5,1,16
"Manhattan","Manhattan",42,74.2,6.11,28.2,1,56.6037735849057
"Airport","Airport",1,59.55,12.24,47.8,1,1.67926112510495
"Manhattan","Manhattan",4.62,27.72,1.86,19.1,1,16.6666666666667
"Manhattan","Manhattan",3.1,18.8,1.6,10.7,1,16.4893617021277
"Manhattan","Manhattan",3.28,19.68,1.83,11.4,1,16.6666666666667
"Brooklyn","Manhattan",12,71.05,9.63,48.5,1,16.8895144264602
"Manhattan","Manhattan",1,10.8,0.23,5.8,1,9.25925925925926
"Manhattan","Airport",8.22,63.02,9.26,38,1,13.0434782608696
"Manhattan","Manhattan",0.1,11.6,0.9,6.5,1,0.862068965517241
"Manhattan","Airport",16.19,98.88,18.29,70,1,16.3733818770227
"Manhattan","Manhattan",1.96,11.76,0.52,5.8,1,16.6666666666667
"Manhattan","Manhattan",3.98,23.88,2.24,14.9,1,16.6666666666667
"Manhattan","Manhattan",5,40.3,5.89,30.3,1,12.4069478908189
"Manhattan","Manhattan",3.36,20.16,1.33,12.8,1,16.6666666666667
"Manhattan","Manhattan",2,26.8,3.37,19.8,1,7.46268656716418
"Manhattan","Manhattan",8.54,51.24,8.09,38.7,1,16.6666666666667
"Manhattan","Manhattan",2.8,16.8,0.83,10,1,16.6666666666667
"Manhattan","Manhattan",5.2,36,4.42,26.8,1,14.4444444444444
"Manhattan","Manhattan",1,23.1,1.4,15.6,1,4.32900432900433
"Manhattan","Manhattan",4.82,28.92,3.38,19.1,1,16.6666666666667
"Manhattan","Manhattan",2.86,17.16,1.47,9.3,1,16.6666666666667
"Manhattan","Airport",8,88.75,18.22,70,1,9.01408450704225
"Manhattan","Manhattan",1.96,11.76,0.83,5.8,1,16.6666666666667
"Manhattan","Manhattan",1,25.2,3.72,17.7,1,3.96825396825397
"Manhattan","Manhattan",3.72,22.32,1.56,12.1,1,16.6666666666667
"Manhattan","Manhattan",1.82,10.92,0,5.1,1,16.6666666666667
"Manhattan","Manhattan",2,18.1,2.03,12.1,1,11.0497237569061
"Manhattan","Manhattan",8.65,52.05,8.8,39.4,1,16.6186359269933
"Manhattan","Manhattan",5.74,34.44,2.02,24.7,1,16.6666666666667
"Manhattan","Manhattan",1,16.8,1.53,9.3,1,5.95238095238095
"Manhattan","Manhattan",6.3,37.8,1.35,27.5,1,16.6666666666667
"Manhattan","Manhattan",3.08,18.48,1.91,11.4,1,16.6666666666667
"Manhattan","Manhattan",5,43.8,7.3,33.8,1,11.4155251141553
"Manhattan","Manhattan",3,17,1.15,10,1,17.6470588235294
"Manhattan","Manhattan",4.72,23.62,1.35,14.9,1,19.9830651989839
"Manhattan","Manhattan",4.1,24.8,2,14.2,1,16.5322580645161
"Manhattan","Manhattan",1.6,9.6,0.76,6.5,1,16.6666666666667
"Manhattan","Manhattan",6.58,39.48,6.03,28.9,1,16.6666666666667
"Manhattan","Manhattan",1,30.4,3.24,25.4,1,3.28947368421053
"Manhattan","Manhattan",3.9,23.5,2.5,15.6,1,16.5957446808511
"Manhattan","Manhattan",3.7,22.2,2.06,13.5,1,16.6666666666667
"Brooklyn","Manhattan",4,37.6,6.5,29.6,1,10.6382978723404
"Manhattan","Airport",11.65,70.14,9,40.8,1,16.6096378671229
"Manhattan","Manhattan",0,30.4,5.58,25.4,1,0
