"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","PUMonth","fare_amount","payment_type","percent_tip"
"Manhattan","Manhattan",2.6,15.5,1.2,"Jun",7.9,1,16.7741935483871
"Manhattan","Manhattan",2.52,12.62,0.45,"Aug",5.1,1,19.9683042789223
"Manhattan","Manhattan",3,18,1.57,"May",10,1,16.6666666666667
"Manhattan","Manhattan",1,17.1,1.58,"Feb",12.1,1,5.84795321637427
"Manhattan","Manhattan",3.22,19.32,1.43,"Apr",12.1,1,16.6666666666667
"Manhattan","Manhattan",3.6,18,1.29,"Apr",7.9,1,20
"Manhattan","Manhattan",2.72,16.32,1.07,"May",8.6,1,16.6666666666667
"Manhattan","Manhattan",1,36.4,5.6,"Feb",28.9,1,2.74725274725275
"Manhattan","Manhattan",2,27.2,3.35,"Apr",21.2,1,7.35294117647059
"Manhattan","Manhattan",2.56,19.66,2.18,"Jan",12.1,1,13.0213631739573
"Manhattan","Manhattan",4.62,27.72,3.64,"Mar",19.1,1,16.6666666666667
"Manhattan","Manhattan",2.39,15.69,1.55,"Oct",9.3,1,15.2326322498407
"Manhattan","Manhattan",5.32,31.92,4.7,"Jul",22.6,1,16.6666666666667
"Manhattan","Manhattan",3,18,1.9,"May",10,1,16.6666666666667
"Manhattan","Manhattan",3.15,18.85,2,"Feb",10.7,1,16.710875331565
"Manhattan","Manhattan",2.38,14.28,0.64,"Sep",7.9,1,16.6666666666667
"Manhattan","Manhattan",2.94,17.64,1.68,"Nov",10.7,1,16.6666666666667
"Manhattan","Queens",16.46,98.76,17,"May",70,1,16.6666666666667
"Manhattan","Manhattan",2.38,14.28,0.91,"Mar",7.9,1,16.6666666666667
"Manhattan","Manhattan",6.08,36.48,4.61,"Oct",25.4,1,16.6666666666667
"Manhattan","Manhattan",3.02,18.12,0.71,"Mar",8.6,1,16.6666666666667
"Manhattan","Manhattan",0,15.4,0.99,"Mar",11.4,1,0
"Manhattan","Manhattan",1,13.6,0.89,"Dec",8.6,1,7.35294117647059
"Manhattan","Manhattan",0,24.8,4.1,"Oct",19.8,1,0
"Manhattan","Manhattan",4.84,29.04,2.31,"Oct",17.7,1,16.6666666666667
"Manhattan","Manhattan",4.06,24.36,1.93,"Dec",16.3,1,16.6666666666667
"Manhattan","Queens",20.14,101.94,18.09,"Jan",70,1,19.7567196390033
"Manhattan","Manhattan",4.68,28.08,2.25,"Nov",18.4,1,16.6666666666667
"Manhattan","Manhattan",3.77,18.87,1.31,"May",8.6,1,19.9788023317435
"Manhattan","Manhattan",2.3,13.8,0.5,"Jun",6.5,1,16.6666666666667
"Manhattan","Manhattan",4.48,26.88,2.71,"Apr",18.4,1,16.6666666666667
"Manhattan","Manhattan",1.23,13.53,0.64,"Mar",5.8,1,9.09090909090909
"Manhattan","Manhattan",2.65,15.95,1.5,"Jan",9.3,1,16.6144200626959
